Slot No.,Charge Level,MSM Scenario Name,Scenario,Scenario_Code
1,,,2016,2016
14,,TOUCH_base_AGSv1_E23B,C_Baseline,C_Baseline
16,,TOUCH_base_AGSv1_E23B_NC,Baseline,Baseline
18,,TOUCH_Base_4_3Ca,Baseline_3C,Baseline_3C
20,$3.00 ,TOUCH_Option_1A,1A,1A_300
22,$1.50 ,TOUCH_Option_1A_150,1A,1A_150
24,$2.00 ,TOUCH_Option_1A_200,1A,1A_200
26,$4.00 ,TOUCH_Option_1A_400,1A,1A_400
30,$3.00 ,TOUCH_Option_1C,1C,1C_300
32,$1.50 ,TOUCH_Option_1C_150,1C,1C_150
34,$2.00 ,TOUCH_Option_1C_200,1C,1C_200
36,$4.00 ,TOUCH_Option_1C_400,1C,1C_400
40,$3.00 ,TOUCH_Option_2C,2C,2C_300
42,$1.50 ,TOUCH_Option_2C_150,2C,2C_150
44,$2.00 ,TOUCH_Option_2C_200,2C,2C_200
46,$4.00 ,TOUCH_Option_2C_400,2C,2C_400
50,$3.00 ,TOUCH_Option_3B_P2,3B,3B_300
52,$1.50 ,TOUCH_Option_3B_P2_150,3B,3B_150
54,$2.00 ,TOUCH_Option_3B_P2_200,3B,3B_200
56,$4.00 ,TOUCH_Option_3B_P2_400,3B,3B_400
58,$6.00 ,TOUCH_Option_3B_P2_600,3B,3B_600
60,$3.00 ,TOUCH_Option_3Ca_P2,3C,3C_300
62,$1.50 ,TOUCH_Option_3Ca_P2_150,3C,3C_150
64,$2.00 ,TOUCH_Option_3Ca_P2_200,3C,3C_200
66,$4.00 ,TOUCH_Option_3Ca_P2_400,3C,3C_400
70,$3.00 ,TOUCH_Option_3E_P2,3E,3E_300
72,$1.50 ,TOUCH_Option_3E_P2_150,3E,3E_150
74,$2.00 ,TOUCH_Option_3E_P2_200,3E,3E_200
76,$4.00 ,TOUCH_Option_3E_P2_400,3E,3E_400
80,$3.00 ,TOUCH_Option_3H_P2,3H,3H_300
82,$1.50 ,TOUCH_Option_3H_P2_150,3H,3H_150
84,$2.00 ,TOUCH_Option_3H_P2_200,3H,3H_200
86,$4.00 ,TOUCH_Option_3H_P2_400,3H,3H_400
